16-06-2025 18:54:35- INFO| TeleBot: credentials imported from text file successfully. | file:Notification_Module.py|func:telegram_credentials|line: 23|thread: MainThread
16-06-2025 18:55:21- INFO| EMA_200_50: Checking for inst: CROMPTON | smallcap100..... | file:EMA_main.py|func:<module>|line: 150|thread: MainThread
16-06-2025 18:55:21- INFO| EMA_200_50: Checking for inst: AFFLE | smallcap100..... | file:EMA_main.py|func:<module>|line: 150|thread: MainThread
16-06-2025 18:55:22- INFO| EMA_200_50: Checking for inst: KAYNES | smallcap100..... | file:EMA_main.py|func:<module>|line: 150|thread: MainThread
16-06-2025 18:55:23- INFO| EMA_200_50: Checking for inst: BATAINDIA | smallcap100..... | file:EMA_main.py|func:<module>|line: 150|thread: MainThread
16-06-2025 18:55:23- INFO| EMA_200_50: Checking for inst: SONATSOFTW | smallcap100..... | file:EMA_main.py|func:<module>|line: 150|thread: MainThread
16-06-2025 18:55:23- INFO| EMA_200_50: Checking for inst: HBLENGINE | smallcap100..... | file:EMA_main.py|func:<module>|line: 150|thread: MainThread
16-06-2025 18:55:24- INFO| EMA_200_50: Checking for inst: ARE&M | smallcap100..... | file:EMA_main.py|func:<module>|line: 150|thread: MainThread
16-06-2025 18:55:24- INFO| EMA_200_50: Checking for inst: CESC | smallcap100..... | file:EMA_main.py|func:<module>|line: 150|thread: MainThread
16-06-2025 18:55:25- INFO| EMA_200_50: Checking for inst: PEL | smallcap100..... | file:EMA_main.py|func:<module>|line: 150|thread: MainThread
16-06-2025 18:55:25- INFO| EMA_200_50: Checking for inst: DELHIVERY | smallcap100..... | file:EMA_main.py|func:<module>|line: 150|thread: MainThread
16-06-2025 18:55:26- INFO| EMA_200_50: Checking for inst: CHAMBLFERT | smallcap100..... | file:EMA_main.py|func:<module>|line: 150|thread: MainThread
16-06-2025 18:55:26- INFO| EMA_200_50: Checking for inst: IGIL | smallcap100..... | file:EMA_main.py|func:<module>|line: 150|thread: MainThread
16-06-2025 18:55:26- INFO| EMA_200_50: Checking for inst: BSOFT | smallcap100..... | file:EMA_main.py|func:<module>|line: 150|thread: MainThread
16-06-2025 18:55:27- INFO| EMA_200_50: Checking for inst: NUVAMA | smallcap100..... | file:EMA_main.py|func:<module>|line: 150|thread: MainThread
16-06-2025 18:55:28- INFO| EMA_200_50: Checking for inst: LALPATHLAB | smallcap100..... | file:EMA_main.py|func:<module>|line: 150|thread: MainThread
16-06-2025 18:55:28- INFO| EMA_200_50: Checking for inst: FIVESTAR | smallcap100..... | file:EMA_main.py|func:<module>|line: 150|thread: MainThread
16-06-2025 18:55:29- INFO| EMA_200_50: Checking for inst: WELSPUNLIV | smallcap100..... | file:EMA_main.py|func:<module>|line: 150|thread: MainThread
16-06-2025 18:55:29- INFO| EMA_200_50: Checking for inst: IDBI | smallcap100..... | file:EMA_main.py|func:<module>|line: 150|thread: MainThread
16-06-2025 18:55:30- INFO| EMA_200_50: Checking for inst: GRSE | smallcap100..... | file:EMA_main.py|func:<module>|line: 150|thread: MainThread
16-06-2025 18:55:30- INFO| EMA_200_50: Checking for inst: NH | smallcap100..... | file:EMA_main.py|func:<module>|line: 150|thread: MainThread
16-06-2025 18:55:30- INFO| EMA_200_50: Checking for inst: GODFRYPHLP | smallcap100..... | file:EMA_main.py|func:<module>|line: 150|thread: MainThread
16-06-2025 18:55:32- INFO| EMA_200_50: Checking for inst: CDSL | smallcap100..... | file:EMA_main.py|func:<module>|line: 150|thread: MainThread
16-06-2025 18:55:32- INFO| EMA_200_50: Checking for inst: MANAPPURAM | smallcap100..... | file:EMA_main.py|func:<module>|line: 150|thread: MainThread
16-06-2025 18:55:33- INFO| EMA_200_50: Checking for inst: IKS | smallcap100..... | file:EMA_main.py|func:<module>|line: 150|thread: MainThread
