Exch,Exchange Segment,Symbol,Token,Instrument Type,Option Type,Strike Price,Instrument Name,Formatted Ins Name,Trading Symbol,Expiry Date,Lot Size,Tick Size
NFO,nse_fo,AUBANK,35829,OPTSTK,PE,940,AU SMALL FINANCE BANK LTD,AUBANK JUL 940 PE,AUBANK31JUL25P940,2025-07-31,1000,0.05
NFO,nse_fo,AUBANK,35842,OPTSTK,CE,960,AU SMALL FINANCE BANK LTD,AUBANK JUL 960 CE,AUBANK31JUL25C960,2025-07-31,1000,0.05
NFO,nse_fo,AUBANK,35843,OPTSTK,PE,960,AU SMALL FINANCE BANK LTD,AUBANK JUL 960 PE,AUBANK31JUL25P960,2025-07-31,1000,0.05
NFO,nse_fo,AUBANK,35846,OPTSTK,CE,850,AU SMALL FINANCE BANK LTD,AUBANK AUG 850 CE,AUBANK28AUG25C850,2025-08-28,1000,0.05
NFO,nse_fo,AUBANK,35847,OPTSTK,PE,850,AU SMALL FINANCE BANK LTD,AUBANK AUG 850 PE,AUBANK28AUG25P850,2025-08-28,1000,0.05
NFO,nse_fo,AUBANK,35848,OPTSTK,CE,870,AU SMALL FINANCE BANK LTD,AUBANK AUG 870 CE,AUBANK28AUG25C870,2025-08-28,1000,0.05
NFO,nse_fo,AUBANK,35849,OPTSTK,PE,870,AU SMALL FINANCE BANK LTD,AUBANK AUG 870 PE,AUBANK28AUG25P870,2025-08-28,1000,0.05
NFO,nse_fo,AUBANK,35852,OPTSTK,CE,960,AU SMALL FINANCE BANK LTD,AUBANK AUG 960 CE,AUBANK28AUG25C960,2025-08-28,1000,0.05
NFO,nse_fo,AUBANK,35853,OPTSTK,PE,960,AU SMALL FINANCE BANK LTD,AUBANK AUG 960 PE,AUBANK28AUG25P960,2025-08-28,1000,0.05
NFO,nse_fo,BIOCON,35887,OPTSTK,CE,410,BIOCON LIMITED.,BIOCON JUL 410 CE,BIOCON31JUL25C410,2025-07-31,2500,0.05
NFO,nse_fo,ICICIGI,35905,OPTSTK,CE,2360,ICICI LOMBARD GIC LIMITED,ICICIGI AUG 2360 CE,ICICIGI28AUG25C2360,2025-08-28,325,0.05
NFO,nse_fo,BIOCON,35908,OPTSTK,PE,410,BIOCON LIMITED.,BIOCON JUL 410 PE,BIOCON31JUL25P410,2025-07-31,2500,0.05
NFO,nse_fo,ICICIGI,35909,OPTSTK,PE,2360,ICICI LOMBARD GIC LIMITED,ICICIGI AUG 2360 PE,ICICIGI28AUG25P2360,2025-08-28,325,0.05
NFO,nse_fo,IIFL,35965,OPTSTK,CE,525,IIFL FINANCE LIMITED,IIFL JUL 525 CE,IIFL31JUL25C525,2025-07-31,1650,0.05
NFO,nse_fo,IIFL,35976,OPTSTK,PE,525,IIFL FINANCE LIMITED,IIFL JUL 525 PE,IIFL31JUL25P525,2025-07-31,1650,0.05
NFO,nse_fo,IIFL,35994,OPTSTK,CE,530,IIFL FINANCE LIMITED,IIFL AUG 530 CE,IIFL28AUG25C530,2025-08-28,1650,0.05
NFO,nse_fo,IIFL,36004,OPTSTK,PE,530,IIFL FINANCE LIMITED,IIFL AUG 530 PE,IIFL28AUG25P530,2025-08-28,1650,0.05
NFO,nse_fo,IIFL,36005,OPTSTK,CE,560,IIFL FINANCE LIMITED,IIFL AUG 560 CE,IIFL28AUG25C560,2025-08-28,1650,0.05
NFO,nse_fo,IIFL,36011,OPTSTK,PE,560,IIFL FINANCE LIMITED,IIFL AUG 560 PE,IIFL28AUG25P560,2025-08-28,1650,0.05
NFO,nse_fo,CANBK,36027,OPTSTK,CE,118,CANARA BANK,CANBK JUL 118 CE,CANBK31JUL25C118,2025-07-31,6750,0.05
NFO,nse_fo,CANBK,36052,OPTSTK,PE,118,CANARA BANK,CANBK JUL 118 PE,CANBK31JUL25P118,2025-07-31,6750,0.05
NFO,nse_fo,CANBK,36054,OPTSTK,CE,132,CANARA BANK,CANBK JUL 132 CE,CANBK31JUL25C132,2025-07-31,6750,0.05
NFO,nse_fo,CANBK,36057,OPTSTK,PE,132,CANARA BANK,CANBK JUL 132 PE,CANBK31JUL25P132,2025-07-31,6750,0.05
